name,url,author,date
Adobe announces new collaboration and editing features for Frame.io and Premiere Pro,https://www.theverge.com/2023/4/13/23681495/adobe-frameio-premiere-pro-new-features-editing,JESS WEATHERBED,APR 13
"Samsung Galaxy A54 5G review: a little bit flagship, but mostly midrange",https://www.theverge.com/23681017/samsung-galaxy-a54-5g-review-screen-camera-battery,ALLISON JOHNSON,APR 13
Apple’s new series Drops of God turns wine tasting into high-stakes drama,https://www.theverge.com/23680565/drops-of-god-review-apple-tv-plus,ANDREW WEBSTER,APR 13
"Leica’s $9,195 M11 Monochrom camera lives in a gray area of expensive minimalism",https://www.theverge.com/23680479/leica-m11-monochrom-50mm-summilux-announcement-price-specs-review-impressions,ANTONIO G. DI BENEDETTO,APR 13
DJI’s new Inspire 3 is a flying 8K movie-making camera under a powerful drone,https://www.theverge.com/2023/4/13/23680397/dji-inspire-3-8k-drone-announcement,UMAR SHAKIR,APR 13
Microsoft is experimenting with a Windows gaming handheld mode for Steam Deck-like devices,https://www.theverge.com/2023/4/13/23681492/microsoft-windows-handheld-mode-gaming-xbox-steam-deck,TOM WARREN,APR 13
PBS also stops tweeting after being hit with ‘government-funded media’ label,https://www.theverge.com/2023/4/13/23681491/pbs-stops-tweeting-government-funded-media-npr,JON PORTER,APR 13
What we’ve learned about Sony PlayStation’s new smartphone games team,https://www.theverge.com/2023/4/12/23680947/sony-playstation-studios-mobile-team-internal-external-studios-f2p,SEAN HOLLISTER,APR 13
Congressional Republicans subpoena the FTC for asking Twitter too many questions,https://www.theverge.com/2023/4/12/23680860/elon-musk-twitter-ftc-subpoena-jim-jordan-lina-khan,MAKENA KELLY,APR 13
The Google graveyard: all the products Google has shut down,https://www.theverge.com/2019/11/26/20977968/google-graveyard-products-shut-down-dead-not-supported-discontinues-spring-cleaning,JAY PETERS,APR 13
"Google will shut down Currents, the work-focused Google Plus replacement",https://www.theverge.com/2022/2/10/22928042/google-plus-replacement-wind-down-currents-spaces,MITCHELL CLARK,APR 13
Android 14’s first beta introduces a back arrow that matches your background,https://www.theverge.com/2023/4/12/23680037/android-14-beta-announcement-google-app-navigation-back-arrow,JESS WEATHERBED,APR 13
"Summer gaming events 2023: with E3 canceled, here’s what’s next",https://www.theverge.com/2023/3/30/23663989/summer-gaming-events-2023-e3-canceled-news-announcements,JAY PETERS,APR 13
Warner Bros. Discovery’s $15.99-ish ‘Max’ combo will be revealed tomorrow,https://www.theverge.com/2023/4/11/23678849/warner-bros-discovery-max-combo-announcement-date,EMMA ROTH,APR 13
"Max is charging more money for 4K, and that means it can’t suck this time",https://www.theverge.com/2023/4/12/23680672/max-hbo-4k-hdr-price-increase,ALEX CRANZ,APR 13
"Game of Thrones is getting another prequel, and its plot sounds very familiar",https://www.theverge.com/2023/4/12/23680681/knight-of-seven-kingdoms-game-of-thrones-prequel,ALEX CRANZ AND EMMA ROTH,APR 13
Chipotle plans to ditch gas grills at 100 new locations,https://www.theverge.com/2023/4/12/23680207/chipotle-gas-grill-electric-stove-climate-change,JUSTINE CALMA,APR 13
A ‘decade-long’ Harry Potter series is coming to Max,https://www.theverge.com/2023/4/12/23680676/harry-potter-tv-series-announced-max-hbo-warner-bros,JAY PETERS,APR 12
Love & Translation is basically that Duolingo reality dating show minus the owl,https://www.theverge.com/23680607/love-translation-duolingo-tlc-max-hbo-reality-dating-show,ALEX CRANZ,APR 12
Gotham has a new king in Max’s first Penguin teaser,https://www.theverge.com/23680597/max-penguin-teaser,CHARLES PULLIAM-MOORE,APR 12
Warner Bros. Discovery explains why it’s dropping the HBO Max name,https://www.theverge.com/2023/4/12/23673475/warner-bros-discovery-max-new-name-hbo,JAY PETERS,APR 12
HBO and Discovery’s ‘Max’ streaming service is here,https://www.theverge.com/2023/4/12/23677909/hbo-discovery-combined-max-streaming-service-price-availability,EMMA ROTH,APR 12
The best laptops for video editing,https://www.theverge.com/23643460/best-video-editing-laptop,MONICA CHIN,APR 12
Xbox’s new energy-saving power options roll out this week,https://www.theverge.com/2023/4/12/23680336/xbox-energy-saving-power-options-launch-microsoft,EMMA ROTH,APR 12
